date,user_id,app,sessions,minutes_used,feature_actions,errors,seat_cost_usd
2026-01-03,16,Slack,1,21,6,0,12
2026-01-03,40,Notion,2,8,17,0,10
2026-01-03,40,Google Workspace,5,31,1,0,12
2026-01-03,43,Slack,7,30,1,0,12
2026-01-03,47,Google Workspace,2,33,2,0,12
2026-01-03,56,Notion,2,24,18,0,10
2026-01-03,56,Slack,4,24,20,0,12
2026-01-03,61,Slack,2,22,14,0,12
2026-01-03,61,Zendesk,5,10,7,0,90
2026-01-03,64,Salesforce,1,25,10,0,150
2026-01-03,69,Zendesk,2,10,13,0,90
2026-01-03,78,Jira,2,63,41,0,8
2026-01-03,78,Salesforce,4,83,14,0,150
2026-01-03,78,HubSpot,9,63,25,0,120
2026-01-03,80,Google Workspace,2,24,16,0,12
2026-01-03,86,Slack,2,9,6,0,12
2026-01-03,91,Notion,2,29,20,0,10
2026-01-03,91,Google Workspace,3,29,22,0,12
2026-01-03,91,Jira,2,5,25,0,8
2026-01-03,93,Slack,1,53,46,0,12
2026-01-03,94,Google Workspace,3,49,15,0,12
2026-01-03,101,Slack,4,22,14,0,12
2026-01-03,101,Zendesk,4,13,2,0,90
2026-01-03,101,HubSpot,3,3,18,0,120
2026-01-03,106,HubSpot,1,24,7,0,120
2026-01-03,107,Notion,7,43,6,0,10
2026-01-03,107,Slack,1,24,16,0,12
2026-01-03,107,Zendesk,3,11,13,0,90
2026-01-03,111,Google Workspace,2,15,15,0,12
2026-01-03,111,Slack,1,40,10,0,12
2026-01-03,111,Zendesk,2,6,20,0,90
2026-01-03,121,Jira,3,26,12,0,8
2026-01-03,121,HubSpot,4,39,1,0,120
2026-01-03,124,Slack,4,16,22,0,12
2026-01-03,126,Notion,1,10,7,0,10
2026-01-03,126,Google Workspace,2,16,9,0,12
2026-01-03,126,Jira,2,34,15,0,8
2026-01-03,130,Notion,5,3,27,0,10
2026-01-03,133,Google Workspace,2,35,11,0,12
2026-01-03,137,HubSpot,8,56,57,0,120
2026-01-03,139,Zendesk,5,37,22,0,90
2026-01-03,144,Google Workspace,3,38,17,0,12
2026-01-03,144,Slack,2,3,16,0,12
2026-01-03,144,Zendesk,2,37,28,0,90
2026-01-03,151,Salesforce,7,53,53,0,150
2026-01-03,155,Slack,2,16,13,0,12
2026-01-03,160,Zendesk,2,24,9,0,90
2026-01-03,160,Jira,2,20,17,0,8
2026-01-03,161,Slack,2,23,5,0,12
2026-01-03,161,Zendesk,1,32,16,0,90
2026-01-03,166,Salesforce,4,41,5,0,150
2026-01-03,166,Slack,2,10,13,0,12
2026-01-03,166,HubSpot,3,33,12,0,120
2026-01-03,169,Salesforce,1,11,9,0,150
2026-01-03,170,Slack,3,30,8,0,12
2026-01-03,175,Zendesk,2,22,4,0,90
2026-01-03,178,Salesforce,6,23,28,1,150
2026-01-04,14,Slack,7,53,24,1,12
2026-01-04,15,Google Workspace,3,36,8,0,12
2026-01-04,15,Slack,6,41,21,0,12
2026-01-04,18,Salesforce,4,28,11,0,150
2026-01-04,21,Salesforce,2,19,26,0,150
2026-01-04,21,HubSpot,2,39,8,0,120
2026-01-04,24,Salesforce,1,48,6,0,150
2026-01-04,26,Zendesk,8,44,37,0,90
2026-01-04,27,Jira,1,3,14,0,8
2026-01-04,33,Salesforce,6,82,60,0,150
2026-01-04,36,Google Workspace,1,32,24,0,12
2026-01-04,36,Zendesk,1,20,16,0,90
2026-01-04,37,Salesforce,2,16,12,0,150
2026-01-04,37,Zendesk,3,50,1,0,90
2026-01-04,37,Jira,2,13,10,0,8
2026-01-04,40,Notion,3,31,10,0,10
2026-01-04,40,Google Workspace,6,19,14,0,12
2026-01-04,40,Jira,1,40,1,0,8
2026-01-04,41,Google Workspace,3,17,12,0,12
2026-01-04,41,Zendesk,4,41,1,0,90
2026-01-04,43,Google Workspace,3,41,7,0,12
2026-01-04,46,Salesforce,4,74,24,0,150
2026-01-04,46,Slack,3,52,35,0,12
2026-01-04,47,HubSpot,3,24,16,0,120
2026-01-04,49,HubSpot,1,30,21,0,120
2026-01-04,50,Slack,3,69,45,0,12
2026-01-04,58,Slack,2,12,12,0,12
2026-01-04,61,HubSpot,3,48,18,0,120
2026-01-04,62,Google Workspace,1,34,8,0,12
2026-01-04,62,Salesforce,1,14,10,0,150
2026-01-04,62,Zendesk,1,29,17,0,90
2026-01-04,67,Slack,4,29,15,0,12
2026-01-04,67,Zendesk,1,36,9,0,90
2026-01-04,67,HubSpot,4,26,21,0,120
2026-01-04,72,Jira,2,23,8,0,8
2026-01-04,76,Salesforce,5,72,34,0,150
2026-01-04,78,Salesforce,7,49,40,0,150
2026-01-04,81,Slack,5,9,22,0,12
2026-01-04,83,HubSpot,2,36,15,0,120
2026-01-04,85,Salesforce,1,13,13,0,150
2026-01-04,95,Zendesk,3,28,18,0,90
2026-01-04,97,Google Workspace,1,40,8,0,12
2026-01-04,97,Slack,3,12,6,0,12
2026-01-04,103,Slack,1,25,12,0,12
2026-01-04,103,Zendesk,5,26,8,0,90
2026-01-04,115,Notion,2,22,23,0,10
2026-01-04,115,Slack,2,25,1,0,12
2026-01-04,116,Notion,1,23,4,0,10
2026-01-04,121,Notion,2,30,11,0,10
2026-01-04,122,Slack,3,38,3,0,12
2026-01-04,126,Google Workspace,3,33,11,0,12
2026-01-04,126,Slack,4,37,17,0,12
2026-01-04,130,HubSpot,2,15,7,0,120
2026-01-04,131,Salesforce,5,39,14,0,150
2026-01-04,131,Zendesk,4,23,27,0,90
2026-01-04,141,Salesforce,3,29,10,0,150
2026-01-04,142,HubSpot,7,45,41,0,120
2026-01-04,148,Google Workspace,4,28,16,0,12
2026-01-04,151,Notion,6,46,35,2,10
2026-01-04,151,HubSpot,5,70,26,0,120
2026-01-04,155,Jira,2,30,5,0,8
2026-01-04,156,Google Workspace,5,38,12,0,12
2026-01-04,156,Zendesk,1,14,14,0,90
2026-01-04,160,Notion,2,8,14,0,10
2026-01-04,160,Slack,3,26,14,0,12
2026-01-04,161,Slack,2,15,10,0,12
2026-01-04,163,Salesforce,5,31,7,0,150
2026-01-04,163,Zendesk,4,7,7,0,90
2026-01-04,163,Jira,1,23,20,0,8
2026-01-04,166,HubSpot,4,20,18,2,120
2026-01-04,172,Slack,2,17,14,0,12
2026-01-04,180,Jira,2,26,17,3,8
2026-01-05,1,Google Workspace,1,40,27,0,12
2026-01-05,1,Slack,2,17,1,0,12
2026-01-05,2,Jira,5,26,23,0,8
2026-01-05,3,Slack,3,42,24,0,12
2026-01-05,6,Slack,3,24,8,0,12
2026-01-05,8,Google Workspace,3,24,10,0,12
2026-01-05,8,HubSpot,2,7,16,0,120
2026-01-05,9,Notion,3,21,22,0,10
2026-01-05,10,Salesforce,4,9,8,0,150
2026-01-05,10,Slack,3,6,18,0,12
2026-01-05,10,HubSpot,1,10,10,0,120
2026-01-05,11,Zendesk,4,21,19,0,90
2026-01-05,12,Slack,7,71,20,0,12
2026-01-05,12,Zendesk,4,24,59,1,90
2026-01-05,12,Jira,5,54,39,0,8
2026-01-05,14,Slack,3,70,51,0,12
2026-01-05,15,Slack,3,31,25,0,12
2026-01-05,16,Jira,2,20,7,0,8
2026-01-05,17,HubSpot,1,9,15,0,120
2026-01-05,23,Notion,3,30,13,0,10
2026-01-05,23,Google Workspace,1,25,10,0,12
2026-01-05,23,Jira,2,29,9,0,8
2026-01-05,25,Slack,1,18,16,0,12
2026-01-05,26,Google Workspace,9,65,35,0,12
2026-01-05,26,Slack,8,82,63,0,12
2026-01-05,33,Salesforce,4,71,42,0,150
2026-01-05,36,HubSpot,2,30,6,0,120
2026-01-05,37,HubSpot,2,40,1,0,120
2026-01-05,39,Google Workspace,3,17,15,0,12
2026-01-05,39,Salesforce,4,4,12,0,150
2026-01-05,39,HubSpot,2,36,1,0,120
2026-01-05,41,Salesforce,5,24,27,0,150
2026-01-05,46,HubSpot,8,58,29,0,120
2026-01-05,49,Slack,3,7,11,0,12
2026-01-05,50,Jira,4,44,30,0,8
2026-01-05,56,Salesforce,4,40,17,0,150
2026-01-05,58,Slack,1,16,19,0,12
2026-01-05,59,Salesforce,6,77,37,2,150
2026-01-05,59,Slack,4,65,34,0,12
2026-01-05,59,HubSpot,4,75,22,0,120
2026-01-05,61,Zendesk,1,19,13,0,90
2026-01-05,63,HubSpot,3,38,15,1,120
2026-01-05,64,Salesforce,1,20,28,1,150
2026-01-05,65,HubSpot,2,23,11,0,120
2026-01-05,73,HubSpot,7,75,25,0,120
2026-01-05,74,Slack,5,12,35,0,12
2026-01-05,78,Notion,8,60,32,0,10
2026-01-05,78,HubSpot,6,93,39,0,120
2026-01-05,80,Jira,1,16,1,2,8
2026-01-05,84,Google Workspace,2,25,12,0,12
2026-01-05,84,Salesforce,4,51,12,0,150
2026-01-05,84,HubSpot,4,38,25,0,120
2026-01-05,85,Google Workspace,1,28,1,0,12
2026-01-05,87,Notion,3,30,25,0,10
2026-01-05,87,Slack,2,20,8,0,12
2026-01-05,87,HubSpot,1,3,13,0,120
2026-01-05,88,Jira,1,38,21,0,8
2026-01-05,90,Salesforce,6,10,13,0,150
2026-01-05,90,Zendesk,4,37,22,0,90
2026-01-05,90,HubSpot,3,24,14,0,120
2026-01-05,93,HubSpot,5,69,39,0,120
2026-01-05,94,Jira,6,20,4,0,8
2026-01-05,95,Jira,3,14,2,0,8
2026-01-05,96,Jira,3,28,2,0,8
2026-01-05,96,HubSpot,4,29,9,0,120
2026-01-05,99,Google Workspace,1,14,16,0,12
2026-01-05,99,Salesforce,4,20,23,0,150
2026-01-05,99,HubSpot,3,27,15,0,120
2026-01-05,101,HubSpot,4,22,9,0,120
2026-01-05,104,Slack,1,26,11,0,12
2026-01-05,106,Google Workspace,3,40,10,0,12
2026-01-05,115,Google Workspace,3,7,9,0,12
2026-01-05,115,Slack,2,41,32,0,12
2026-01-05,115,Zendesk,3,19,1,0,90
2026-01-05,119,Salesforce,5,16,16,0,150
2026-01-05,119,HubSpot,1,31,14,0,120
2026-01-05,119,Jira,1,14,16,0,8
2026-01-05,125,Notion,2,35,5,0,10
2026-01-05,126,Slack,4,10,4,2,12
2026-01-05,128,Salesforce,3,15,10,0,150
2026-01-05,128,Zendesk,4,44,21,0,90
2026-01-05,132,Slack,3,32,17,0,12
2026-01-05,135,Slack,3,44,34,0,12
2026-01-05,137,Notion,6,42,5,0,10
2026-01-05,138,Notion,3,27,13,0,10
2026-01-05,138,Google Workspace,2,20,19,0,12
2026-01-05,142,Notion,4,68,51,0,10
2026-01-05,146,Salesforce,3,4,29,0,150
2026-01-05,148,Zendesk,3,14,31,0,90
2026-01-05,150,Slack,1,28,15,0,12
2026-01-05,151,Notion,4,38,18,0,10
2026-01-05,151,HubSpot,6,59,56,0,120
2026-01-05,152,Zendesk,2,37,23,0,90
2026-01-05,152,HubSpot,3,4,2,0,120
2026-01-05,153,Zendesk,4,37,42,2,90
2026-01-05,153,HubSpot,4,49,33,0,120
2026-01-05,161,HubSpot,1,23,26,0,120
2026-01-05,162,Notion,1,40,7,0,10
2026-01-05,162,Slack,5,24,18,0,12
2026-01-05,167,Notion,2,31,26,0,10
2026-01-05,167,Jira,3,28,19,0,8
2026-01-05,170,Google Workspace,2,19,11,0,12
2026-01-05,170,Slack,2,25,7,0,12
2026-01-05,173,Notion,1,42,10,0,10
2026-01-05,174,HubSpot,3,28,7,0,120
2026-01-05,176,Slack,1,35,19,0,12
2026-01-05,176,HubSpot,5,20,24,0,120
2026-01-05,177,Slack,4,18,19,0,12
2026-01-05,177,Zendesk,6,17,15,0,90
2026-01-05,178,Salesforce,1,37,27,0,150
2026-01-05,178,Slack,3,21,11,0,12
2026-01-05,179,Google Workspace,4,64,18,0,12
2026-01-05,179,Salesforce,5,45,15,0,150
2026-01-06,2,Salesforce,3,20,11,0,150
2026-01-06,3,Slack,2,23,21,0,12
2026-01-06,4,Salesforce,4,55,47,1,150
2026-01-06,8,Slack,2,24,8,0,12
2026-01-06,9,Salesforce,2,45,6,0,150
2026-01-06,9,Slack,5,25,9,0,12
2026-01-06,9,HubSpot,2,18,6,0,120
2026-01-06,11,Salesforce,4,34,10,0,150
2026-01-06,11,Slack,4,7,3,0,12
2026-01-06,12,Jira,3,66,48,0,8
2026-01-06,14,Slack,5,58,23,0,12
2026-01-06,15,Salesforce,1,24,18,0,150
2026-01-06,15,Slack,1,6,2,0,12
2026-01-06,15,HubSpot,2,19,5,0,120
2026-01-06,17,Slack,1,40,1,0,12
2026-01-06,17,HubSpot,1,20,8,0,120
2026-01-06,20,HubSpot,3,24,13,0,120
2026-01-06,21,Notion,5,3,17,0,10
2026-01-06,25,Slack,3,25,3,0,12
2026-01-06,26,Jira,4,73,30,1,8
2026-01-06,33,Notion,7,51,11,1,10
2026-01-06,33,Salesforce,5,75,53,0,150
2026-01-06,34,HubSpot,4,19,1,0,120
2026-01-06,46,Google Workspace,6,67,20,0,12
2026-01-06,48,Slack,4,33,1,0,12
2026-01-06,49,Google Workspace,1,56,7,0,12
2026-01-06,49,Slack,4,34,7,0,12
2026-01-06,49,Zendesk,1,17,1,0,90
2026-01-06,52,HubSpot,1,39,23,0,120
2026-01-06,56,Slack,2,8,6,0,12
2026-01-06,59,Notion,7,56,30,0,10
2026-01-06,59,HubSpot,4,63,45,0,120
2026-01-06,62,Salesforce,5,39,10,0,150
2026-01-06,62,Zendesk,1,16,9,0,90
2026-01-06,64,Slack,6,16,8,1,12
2026-01-06,64,Zendesk,4,9,2,0,90
2026-01-06,71,Slack,7,82,38,0,12
2026-01-06,71,Zendesk,7,39,46,0,90
2026-01-06,72,Slack,1,41,14,0,12
2026-01-06,73,Notion,6,49,44,0,10
2026-01-06,73,Slack,8,64,18,0,12
2026-01-06,73,HubSpot,7,57,45,0,120
2026-01-06,74,Jira,1,17,22,1,8
2026-01-06,75,Google Workspace,1,96,16,0,12
2026-01-06,75,Jira,4,50,58,0,8
2026-01-06,75,Notion,4,62,19,2,10
2026-01-06,76,Zendesk,8,98,33,0,90
2026-01-06,81,Google Workspace,2,45,9,0,12
2026-01-06,84,Salesforce,3,27,14,0,150
2026-01-06,85,HubSpot,1,16,5,1,120
2026-01-06,92,Slack,5,35,4,0,12
2026-01-06,92,Zendesk,3,10,13,0,90
2026-01-06,92,HubSpot,1,38,1,0,120
2026-01-06,93,Google Workspace,4,30,28,0,12
2026-01-06,93,Slack,8,55,5,0,12
2026-01-06,93,Jira,4,54,5,0,8
2026-01-06,97,Zendesk,3,32,16,0,90
2026-01-06,103,Jira,1,14,12,0,8
2026-01-06,105,Zendesk,2,36,6,0,90
2026-01-06,107,Google Workspace,2,34,12,0,12
2026-01-06,111,Google Workspace,2,32,7,0,12
2026-01-06,111,Zendesk,2,37,1,0,90
2026-01-06,113,Salesforce,4,28,3,0,150
2026-01-06,113,Slack,4,10,8,0,12
2026-01-06,116,Jira,2,15,2,0,8
2026-01-06,122,Slack,3,37,29,0,12
2026-01-06,126,Notion,4,29,17,0,10
2026-01-06,130,Google Workspace,3,35,1,0,12
2026-01-06,130,Slack,2,22,7,0,12
2026-01-06,130,HubSpot,1,32,3,0,120
2026-01-06,133,Notion,2,24,13,0,10
2026-01-06,133,Google Workspace,3,26,16,0,12
2026-01-06,135,Jira,5,32,24,0,8
2026-01-06,137,HubSpot,6,69,52,1,120
2026-01-06,138,Salesforce,4,20,10,0,150
2026-01-06,140,Slack,2,49,11,0,12
2026-01-06,142,Slack,5,41,32,0,12
2026-01-06,142,Zendesk,4,42,29,0,90
2026-01-06,144,Google Workspace,4,32,10,0,12
2026-01-06,144,Slack,2,19,11,0,12
2026-01-06,145,Zendesk,5,12,6,0,90
2026-01-06,146,HubSpot,1,31,1,0,120
2026-01-06,151,HubSpot,6,94,28,0,120
2026-01-06,152,Notion,6,26,12,0,10
2026-01-06,152,Zendesk,2,15,8,0,90
2026-01-06,153,Slack,6,40,12,0,12
2026-01-06,153,HubSpot,6,32,21,0,120
2026-01-06,154,Jira,4,22,1,0,8
2026-01-06,158,Slack,1,37,7,0,12
2026-01-06,160,HubSpot,1,36,8,0,120
2026-01-06,161,Salesforce,1,48,4,0,150
2026-01-06,170,Slack,1,16,11,0,12
2026-01-06,171,Salesforce,5,59,13,0,150
2026-01-06,175,Slack,1,37,1,0,12
2026-01-06,177,HubSpot,4,18,11,0,120
2026-01-06,178,Jira,4,34,1,0,8
2026-01-07,10,Salesforce,1,3,9,0,150
2026-01-07,12,Jira,4,55,41,0,8
2026-01-07,14,Google Workspace,8,45,49,0,12
2026-01-07,14,Slack,4,51,5,0,12
2026-01-07,14,HubSpot,6,69,28,0,120
2026-01-07,21,Slack,2,3,13,0,12
2026-01-07,26,Google Workspace,9,66,16,0,12
2026-01-07,27,Salesforce,3,20,3,0,150
2026-01-07,27,Zendesk,4,25,5,0,90
2026-01-07,28,HubSpot,2,8,13,0,120
2026-01-07,30,Notion,2,32,19,0,10
2026-01-07,30,HubSpot,4,32,15,0,120
2026-01-07,32,Zendesk,4,42,16,0,90
2026-01-07,37,HubSpot,4,10,19,0,120
2026-01-07,42,Notion,4,21,16,0,10
2026-01-07,46,Google Workspace,6,36,52,0,12
2026-01-07,49,Notion,3,30,14,0,10
2026-01-07,50,Salesforce,4,50,46,0,150
2026-01-07,50,HubSpot,5,76,44,0,120
2026-01-07,53,Zendesk,1,10,1,0,90
2026-01-07,54,Slack,5,34,10,0,12
2026-01-07,56,Salesforce,2,10,1,0,150
2026-01-07,57,Google Workspace,4,41,23,0,12
2026-01-07,58,Jira,3,15,10,0,8
2026-01-07,61,Google Workspace,1,13,1,0,12
2026-01-07,62,Zendesk,2,14,14,0,90
2026-01-07,63,Notion,3,16,10,0,10
2026-01-07,66,HubSpot,3,25,12,0,120
2026-01-07,69,Zendesk,1,32,11,0,90
2026-01-07,73,Notion,8,62,20,0,10
2026-01-07,74,Google Workspace,2,18,8,1,12
2026-01-07,75,Slack,5,51,58,0,12
2026-01-07,76,Slack,5,69,51,0,12
2026-01-07,78,Salesforce,1,56,29,0,150
2026-01-07,78,Jira,7,90,46,0,8
2026-01-07,80,Notion,1,38,13,0,10
2026-01-07,80,Google Workspace,1,20,1,0,12
2026-01-07,81,HubSpot,3,38,8,0,120
2026-01-07,83,Google Workspace,4,36,9,0,12
2026-01-07,83,HubSpot,3,40,21,1,120
2026-01-07,87,Slack,4,34,36,0,12
2026-01-07,88,Jira,1,26,7,0,8
2026-01-07,93,Notion,5,63,48,0,10
2026-01-07,94,Slack,1,23,5,0,12
2026-01-07,94,HubSpot,4,17,16,0,120
2026-01-07,95,Salesforce,3,17,6,0,150
2026-01-07,96,Google Workspace,2,7,4,0,12
2026-01-07,96,HubSpot,2,9,12,0,120
2026-01-07,97,HubSpot,2,24,14,0,120
2026-01-07,98,HubSpot,2,4,5,0,120
2026-01-07,101,Slack,6,36,14,0,12
2026-01-07,102,Notion,4,36,8,0,10
2026-01-07,102,Salesforce,2,3,11,0,150
2026-01-07,103,Salesforce,3,17,10,0,150
2026-01-07,103,Zendesk,3,41,17,0,90
2026-01-07,103,Jira,5,38,19,0,8
2026-01-07,107,Notion,2,31,20,0,10
2026-01-07,108,Google Workspace,2,7,17,0,12
2026-01-07,108,Slack,2,21,13,0,12
2026-01-07,108,HubSpot,1,37,9,0,120
2026-01-07,114,Salesforce,3,23,17,0,150
2026-01-07,118,Slack,1,32,17,0,12
2026-01-07,119,Salesforce,5,15,9,0,150
2026-01-07,119,HubSpot,1,33,1,0,120
2026-01-07,122,Slack,5,32,3,0,12
2026-01-07,122,HubSpot,5,41,1,0,120
2026-01-07,125,Slack,4,28,17,0,12
2026-01-07,125,HubSpot,4,43,16,0,120
2026-01-07,129,Slack,3,28,9,0,12
2026-01-07,130,Google Workspace,2,29,15,0,12
2026-01-07,133,Google Workspace,3,29,13,0,12
2026-01-07,134,Slack,1,22,11,0,12
2026-01-07,134,HubSpot,5,23,20,0,120
2026-01-07,135,Slack,5,56,5,0,12
2026-01-07,135,HubSpot,10,71,62,0,120
2026-01-07,136,Google Workspace,1,33,12,0,12
2026-01-07,136,HubSpot,3,38,11,0,120
2026-01-07,137,Salesforce,8,51,31,0,150
2026-01-07,137,HubSpot,5,89,31,0,120
2026-01-07,138,HubSpot,2,35,2,0,120
2026-01-07,139,Google Workspace,1,47,17,0,12
2026-01-07,139,Slack,3,17,10,0,12
2026-01-07,142,Google Workspace,4,72,42,0,12
2026-01-07,144,Google Workspace,4,15,9,0,12
2026-01-07,144,Salesforce,4,14,18,0,150
2026-01-07,144,Zendesk,3,12,4,0,90
2026-01-07,145,Zendesk,4,19,6,0,90
2026-01-07,149,Salesforce,2,57,11,0,150
2026-01-07,149,HubSpot,6,14,7,0,120
2026-01-07,150,Jira,4,22,1,0,8
2026-01-07,151,HubSpot,9,37,45,0,120
2026-01-07,152,Jira,2,17,7,0,8
2026-01-07,153,Notion,4,78,17,0,10
2026-01-07,155,Notion,3,26,13,0,10
2026-01-07,155,Slack,4,25,1,0,12
2026-01-07,157,Google Workspace,4,16,13,0,12
2026-01-07,157,Slack,5,30,6,0,12
2026-01-07,157,Zendesk,3,24,1,0,90
2026-01-07,163,Notion,1,19,10,0,10
2026-01-07,163,Slack,2,16,16,0,12
2026-01-07,163,Google Workspace,1,28,9,0,12
2026-01-07,164,Notion,5,81,52,0,10
2026-01-07,164,HubSpot,5,44,20,0,120
2026-01-07,169,Google Workspace,3,23,7,0,12
2026-01-07,169,Notion,1,28,4,0,10
2026-01-07,172,Jira,2,38,6,0,8
2026-01-07,173,Google Workspace,1,29,13,0,12
2026-01-07,173,HubSpot,1,29,14,0,120
2026-01-07,175,Zendesk,2,24,16,0,90
2026-01-07,178,HubSpot,2,9,8,0,120
2026-01-07,180,Jira,5,30,4,0,8
2026-01-08,2,HubSpot,1,17,2,0,120
2026-01-08,9,Slack,2,28,2,0,12
2026-01-08,10,Notion,3,6,10,0,10
2026-01-08,10,Slack,4,37,1,0,12
2026-01-08,14,HubSpot,1,5,27,0,120
2026-01-08,15,Slack,1,14,16,0,12
2026-01-08,17,Slack,4,42,22,0,12
2026-01-08,23,Slack,3,15,4,1,12
2026-01-08,24,Google Workspace,2,29,18,0,12
2026-01-08,24,Salesforce,1,3,15,0,150
2026-01-08,28,Slack,1,30,6,0,12
2026-01-08,28,Jira,2,38,15,0,8
2026-01-08,30,Salesforce,5,8,1,0,150
2026-01-08,30,Zendesk,1,35,20,0,90
2026-01-08,30,HubSpot,1,23,13,0,120
2026-01-08,32,Zendesk,3,34,22,0,90
2026-01-08,35,Slack,4,34,28,0,12
2026-01-08,38,Zendesk,2,19,10,0,90
2026-01-08,38,Jira,1,23,11,0,8
2026-01-08,41,Salesforce,1,22,7,0,150
2026-01-08,43,HubSpot,4,19,19,0,120
2026-01-08,45,Notion,1,24,7,0,10
